,Rooms,Status,Area,Price
860,2,Ready to move,1700,12600000
861,4,Ready to move,2350,19500000
862,3,Ready to move,1850,16900000
863,3,Ready to move,1700,17800000
864,3,Ready to move,1800,23500000
865,3,Ready to move,1700,15000000
866,3,Ready to move,1700,19000000
867,3,Ready to move,1900,18200000
868,2,Ready to move,1600,16200000
869,3,Ready to move,1900,22500000
870,3,Ready to move,1900,15000000
871,4,Ready to move,2000,21000000
872,3,Ready to move,2000,19000000
873,3,Ready to move,2000,24900000
874,4,Ready to move,2550,24000000
875,3,Ready to move,810,2800000
876,2,Ready to move,500,2100000
877,2,Ready to move,540,2200000
878,3,Ready to move,850,4600000
879,3,Ready to move,810,4200000
880,3,Ready to move,900,4500000
881,3,Ready to move,850,4500000
882,2,Ready to move,540,2100000
883,2,Ready to move,630,2200000
884,2,Ready to move,720,3200000
885,3,Ready to move,2250,47500000
886,3,Ready to move,1200,15900000
887,3,Ready to move,1800,16500000
888,3,Ready to move,1143,17000000
889,3,Ready to move,1143,16500000
890,4,Ready to move,3600,92000000
891,4,Ready to move,3600,90000000
892,3,Ready to move,1800,37500000
893,3,Ready to move,1800,35000000
894,4,Ready to move,2250,36900000
895,2,Ready to move,720,5000000
896,3,Ready to move,2350,23900000
897,4,Ready to move,2525,24500000
898,4,Ready to move,2550,21000000
899,3,Ready to move,1950,18200000
900,3,Ready to move,2350,23900000
901,4,Ready to move,2525,24500000
902,4,Ready to move,2550,21000000
903,3,Ready to move,1950,18200000
904,4,Ready to move,2850,18600000
905,3,Ready to move,2050,17900000
906,4,Ready to move,2900,25900000
907,3,Ready to move,1902,16500000
908,4,Ready to move,2750,24700000
909,3,Ready to move,1890,14200000
910,2,Ready to move,500,2500000
911,3,Ready to move,900,4500000
912,3,Ready to move,800,4400000
913,2,Ready to move,450,1850000
914,4,Ready to move,1350,7800000
915,2,Ready to move,700,2800000
916,2,Ready to move,630,3200000
917,3,Ready to move,1045,5200000
918,2,Ready to move,700,2400000
919,3,Ready to move,850,4600000
920,3,Ready to move,810,3600000
921,3,Ready to move,900,4500000
922,3,Ready to move,858,4800000
923,4,Ready to move,1200,4500000
924,2,Ready to move,450,1600000
925,3,Ready to move,810,3700000
926,3,Ready to move,900,4000000
927,2,Ready to move,540,2100000
928,2,Ready to move,540,2000000
